"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK","wt.index"
"325","2",0092-10-17,1992,"Antigone canadensis tabida",3351,"F",189,487,82.4,94,228,"ADULT",NA,NA,92,"NMDGF",NA,2.1359649122807
"326","2",0092-10-17,1992,"Antigone canadensis tabida",4526,"F",194,516,82,101.8,229,"ADULT",NA,NA,92,"NMDGF",NA,2.25327510917031
"327","2",0092-10-17,1992,"Antigone canadensis canadensis",2870,"F",168,475,56.6,65.4,175,"ADULT",NA,NA,92,"NMDGF",NA,2.71428571428571
"328","2",0092-10-17,1992,"Antigone canadensis tabida",5420,"M",209,552,99.6,107.5,236,"ADULT",NA,NA,92,"NMDGF",NA,2.33898305084746
"329","3",0092-10-17,1992,"Antigone canadensis tabida",4821,"F",228,529,89.9,96.6,216,"ADULT",NA,NA,92,"NMDGF",NA,2.44907407407407
"330","3",0092-10-17,1992,"Antigone canadensis tabida",5830,"M",209,578,85.3,103.3,244,"ADULT",NA,NA,92,"NMDGF",NA,2.36885245901639
"331","3",0092-10-17,1992,"Antigone canadensis tabida",4643,"M",200,563,89.8,106.2,246,"ADULT",NA,NA,92,"NMDGF",NA,2.28861788617886
"332","2",0092-10-18,1992,"Antigone canadensis tabida",5591,"M",206,532,83.4,98.2,245,"ADULT",NA,NA,92,"NMDGF",NA,2.17142857142857
"333","2",0092-10-18,1992,"Antigone canadensis canadensis",3449,"F",162,452,60.5,69,198,"ADULT",NA,NA,92,"NMDGF",NA,2.28282828282828
"334","2",0092-10-18,1992,"Antigone canadensis canadensis",2789,"F",167,542,58.7,69.5,174,"ADULT",NA,NA,92,"NMDGF",NA,3.11494252873563
"335","2",0092-10-18,1992,"Antigone canadensis tabida",4914,"M",189,493,85.6,99.2,247,"ADULT",NA,NA,92,"NMDGF",NA,1.99595141700405
"336","2",0092-10-18,1992,"Antigone canadensis tabida",5171,"F",191,518,82,97.2,226,"ADULT",NA,NA,92,"NMDGF",NA,2.29203539823009
"337","2",0092-10-18,1992,"Antigone canadensis canadensis",3115,"F",161,449,54.4,65,178,"ADULT",NA,NA,92,"NMDGF",NA,2.52247191011236
"338","2",0092-10-18,1992,"Antigone canadensis tabida",5061,"M",212,535,79.5,97.8,234,"ADULT",NA,NA,92,"NMDGF",NA,2.28632478632479
"339","2",0092-10-18,1992,"Antigone canadensis tabida",5088,"M",209,514,89.2,105.5,229,"ADULT",NA,NA,92,"NMDGF",NA,2.24454148471616
"340","2",0092-10-18,1992,"Antigone canadensis tabida",5826,"M",210,539,91.9,108,243,"ADULT",NA,NA,92,"NMDGF",NA,2.21810699588477
"341","2",0092-10-18,1992,"Antigone canadensis canadensis",3478,"M",161,469,62.3,73.9,199,"ADULT",NA,NA,92,"NMDGF",NA,2.35678391959799
"342","2",0092-10-18,1992,"Antigone canadensis canadensis",2987,"F",162,437,62.3,69.8,179,"ADULT",NA,NA,92,"NMDGF",NA,2.4413407821229
"343","2",0092-10-18,1992,"Antigone canadensis canadensis",2565,"F",158,434,57.4,68.8,174,"ADULT",NA,NA,92,"NMDGF",NA,2.49425287356322
