"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK"
"46","2",0086-10-16,1986,"Antigone canadensis tabida",NA,"M",NA,523,NA,109,249,"ADULT",NA,NA,86,"NMDGF",NA
"47","2",0086-10-16,1986,"Antigone canadensis tabida",NA,"F",NA,531,NA,99,244,"ADULT",NA,NA,86,"NMDGF",NA
"48","2",0086-10-16,1986,"Antigone canadensis tabida",NA,"M",NA,530,NA,90,237,"ADULT",NA,NA,86,"NMDGF",NA
"49","2",0086-10-16,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,91,225,"ADULT",NA,NA,86,"NMDGF",NA
"50","2",0086-10-16,1986,"Antigone canadensis tabida",NA,"F",NA,530,NA,105,237,"ADULT",NA,NA,86,"NMDGF",NA
"51","3",0086-10-16,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,NA,217,"ADULT",NA,NA,86,"NMDGF",NA
"52","2",0086-10-17,1986,"Antigone canadensis tabida",NA,"M",NA,549,NA,98,243,"ADULT",NA,NA,86,"NMDGF",NA
"53","2",0086-10-17,1986,"Antigone canadensis tabida",NA,"F",NA,510,NA,94,226,"ADULT",NA,NA,86,"NMDGF",NA
"54","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,538,NA,91,217,"ADULT",NA,NA,86,"NMDGF",NA
"55","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,540,NA,91,229,"ADULT",NA,NA,86,"NMDGF",NA
"56","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,535,NA,87,225,"ADULT",NA,NA,86,"NMDGF",NA
"57","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,530,NA,87,227,"ADULT",NA,NA,86,"NMDGF",NA
"58","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,530,NA,100,248,"ADULT",NA,NA,86,"NMDGF",NA
"59","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,536,NA,100,235,"ADULT",NA,NA,86,"NMDGF",NA
"60","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,538,NA,108,243,"ADULT",NA,NA,86,"NMDGF",NA
"61","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,504,NA,93,225,"ADULT",NA,NA,86,"NMDGF",NA
"62","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,562,NA,107,238,"ADULT",NA,NA,86,"NMDGF",NA
"63","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,506,NA,91,215,"ADULT",NA,NA,86,"NMDGF",NA
"64","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,529,NA,98,249,"ADULT",NA,NA,86,"NMDGF",NA
"65","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,575,NA,99,234,"ADULT",NA,NA,86,"NMDGF",NA
"66","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,544,NA,94,233,"ADULT",NA,NA,86,"NMDGF",NA
"67","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,540,NA,97,227,"ADULT",NA,NA,86,"NMDGF",NA
"68","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,540,NA,102,238,"ADULT",NA,NA,86,"NMDGF",NA
"69","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,555,NA,92,239,"ADULT",NA,NA,86,"NMDGF",NA
"70","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,99,227,"ADULT",NA,NA,86,"NMDGF",NA
"71","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,93,217,"ADULT",NA,NA,86,"NMDGF",NA
"72","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,530,NA,97,219,"ADULT",NA,NA,86,"NMDGF",NA
"73","2",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,530,NA,95,227,"ADULT",NA,NA,86,"NMDGF",NA
"74","3",0086-10-18,1986,"Antigone canadensis tabida",NA,"M",NA,510,NA,96,246,"ADULT",NA,NA,86,"NMDGF",NA
"75","3",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,528,NA,96,228,"ADULT",NA,NA,86,"NMDGF",NA
"76","3",0086-10-18,1986,"Antigone canadensis tabida",NA,"F",NA,507,NA,99,226,"ADULT",NA,NA,86,"NMDGF",NA
"77","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,530,NA,NA,227,"ADULT",NA,NA,86,"NMDGF",NA
"78","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,565,NA,119,250,"ADULT",NA,NA,86,"NMDGF",NA
"79","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,510,NA,98,252,"ADULT",NA,NA,86,"NMDGF",NA
"80","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,109,248,"ADULT",NA,NA,86,"NMDGF",NA
"81","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,512,NA,97,251,"ADULT",NA,NA,86,"NMDGF",NA
"82","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,531,NA,105,NA,"ADULT",NA,NA,86,"NMDGF",NA
"83","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,550,NA,97,237,"ADULT",NA,NA,86,"NMDGF",NA
"84","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,560,NA,94,232,"ADULT",NA,NA,86,"NMDGF",NA
"85","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,555,NA,103,231,"ADULT",NA,NA,86,"NMDGF",NA
"86","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,513,NA,93,232,"ADULT",NA,NA,86,"NMDGF",NA
